%============================================================================= 
%NGDCS Check V10: Message 3501 Navigation Solution of ang20170616t200614_gps 
%* If present "Date" and "Abs Time" are derived and not original Msg3501 data 
%============================================================================= 
%Msg3501#, StartByte, Flag, Time, Date, Abs Time, Lat, Lon, Alt, VelN, VelE, VelUp, Pitch, Roll, HeadTrue, DataCheckSum 
96, 51726, 32768, 504422.500417, 2017-Jun-16, 20:07:02.500, 35.156711, -119.066114, 3202.104248, 36.704245, -78.781071, -0.652960, 0.996219, 1.086920, -66.412614, 23021 
97, 52222, 32768, 504422.600417, 2017-Jun-16, 20:07:02.600, 35.156744, -119.066200, -32245.948074, -841.864252, 316.660646, -160.737676, -99.003575, -73.400602, -45.924096, 54736 
98, 52719, 32768, 504422.700417, 2017-Jun-16, 20:07:02.700, 35.156777, -119.066286, 3201.978928, 36.720671, -78.743549, -0.600140, 1.045094, 1.159699, -66.127800, 57582 
99, 53216, 32768, 504422.800417, 2017-Jun-16, 20:07:02.800, 35.156810, -119.066373, 3201.920456, 36.734650, -78.721411, -0.569031, 1.069418, 1.200636, -65.981712, 47045 
100, 53713, 32768, 504422.900417, 2017-Jun-16, 20:07:02.900, 35.156844, -119.066459, 3201.864960, 36.753698, -78.697208, -0.541612, 1.091479, 1.244457, -65.837879, 48567 
101, 54418, 32768, 504423.000417, 2017-Jun-16, 20:07:03.000, 35.156877, -119.066546, 3201.919373, 36.775148, -78.671848, -0.513577, 1.110954, 1.287233, -65.701582, 36319 
102, 54916, 32768, 504423.100417, 2017-Jun-16, 20:07:03.100, 35.156909, -119.066632, 3201.870529, 36.790577, -78.643553, -0.474341, 1.128232, 1.330910, -65.574062, 2296 
103, 55413, 32768, 504423.200417, 2017-Jun-16, 20:07:03.200, 35.156943, -119.066718, 3201.824478, 36.818485, -78.614620, -0.447460, 1.144126, 1.374295, -65.460023, 16869 
104, 56156, 32768, 504423.300417, 2017-Jun-16, 20:07:03.300, 35.156976, -119.066804, 3201.781311, 36.846310, -78.584093, -0.417129, 1.160922, 1.415924, -65.356822, 29262 
105, 56652, 32768, 504423.400417, 2017-Jun-16, 20:07:03.400, 35.157009, -119.066890, 3201.741043, 36.878300, -78.552608, -0.389462, 1.175670, 1.454559, -65.266487, 53364 
106, 57151, 32768, 504423.500417, 2017-Jun-16, 20:07:03.500, 35.157042, -119.066977, 3201.703476, 36.908939, -78.520420, -0.363299, -55.546659, 20.425472, -128.510084, 15057 
107, 57648, 32768, 504423.600417, 2017-Jun-16, 20:07:03.600, 35.157075, -119.067063, 3201.668549, 36.942780, -78.486641, -0.335732, 1.201620, 1.505333, -65.126065, 18165 
108, 58147, 32768, 504423.700417, 2017-Jun-16, 20:07:03.700, 35.157109, -119.067149, 3201.636292, 36.973312, -78.454422, -0.308010, 1.210461, 1.514538, -98.838285, 39121 
109, 58644, 32768, 504423.800417, 2017-Jun-16, 20:07:03.800, 35.157142, -119.067235, 3201.606735, 37.006229, -78.420271, -0.283112, 1.216642, 1.508031, -65.032802, 7287 
110, 59143, 32768, 504423.900417, 2017-Jun-16, 20:07:03.900, 35.157175, -119.067321, 3201.579666, 37.037062, -78.387470, -0.260283, 1.218842, 1.490801, -65.003234, 8684 
111, 59849, 32768, 504424.000417, 2017-Jun-16, 20:07:04.000, 35.157209, -119.067407, 3201.618607, 37.067516, -78.354006, -0.239958, 1.221414, 14.139134, -75.780644, 21201 
112, 60348, 32768, 504424.100417, 2017-Jun-16, 20:07:04.100, 35.157242, -119.067493, 3201.596039, 37.084381, -78.314032, -0.218567, 1.221886, 1.428066, -64.973396, 10296 
113, 60844, 32768, 504424.200417, 2017-Jun-16, 20:07:04.200, 35.157275, -119.067579, 3201.575073, 37.113348, -78.281662, -0.203712, 1.220992, 1.386992, -64.973996, 58745 
114, 61587, 32768, 504424.300417, 2017-Jun-16, 20:07:04.300, 35.157308, -119.067664, 3201.555252, 37.142149, -78.250504, -0.193308, 1.219468, 1.341279, -64.979546, 44682 
